"Stock","Avg","Stdev","Sharpe","Sortino","Pos","Neg","Alpha","beta","alpha.monthly","beta.monthly"
"ORIENTBANK.NS",-0.13483204058878,0.529118144140652,-0.386735300446744,-0.375779755626101,27,33,-0.264259188710232,1.98752655985599,-0.388520706230394,2.22350039148865
"COALINDIA.NS",0.0673626585705793,0.242157474809125,-0.0100511672770678,-0.0113737408439087,28,32,0.00143226688877192,0.821308521555953,-0.194411392780032,0.522090896627247
"PAGEIND.NS",0.330651369687901,0.326836019635491,0.79812116828967,0.737952546702859,39,21,0.295991607762173,0.740742735169404,0.332736080037627,0.581044778407336
"PETRONET.NS",0.253327395651538,0.229017223406906,0.80138414510498,0.90103779486398,35,25,0.20635450340312,0.799172086346837,0.291411455136311,0.176240021998021
"POWERGRID.NS",0.157922934690092,0.20295980507642,0.434205732507638,0.481952398246392,32,28,0.0969289542738508,0.674777365264891,0.0950083123829694,0.13953192764684
"PTC.NS",0.083994186486848,0.31881392088719,0.0445324425924098,0.0413738505921556,33,27,-0.0112947302120769,1.46033944223386,0.174258911675345,1.35754912321014
"RECLTD.NS",0.0791552184597855,0.384124199967605,0.0243634600561397,0.0256510501864661,30,30,-0.0245017624601053,1.54239016460673,-0.036066794737626,1.80922612013646
"AMBUJACEM.NS",0.0490318070029113,0.268942711776786,-0.0772090707243298,-0.076509834336768,30,30,-0.050645351961067,1.22100354021214,-0.160410183007981,1.43676608632455
"RELIANCE.NS",0.207057352497329,0.267197840435786,0.513704483599813,0.594587713664777,32,28,0.0973824872123033,1.11012724446728,0.168064627488689,1.62815644812741
"RPOWER.NS",-0.160946602109275,0.414510323891429,-0.55666460560097,-0.521348443966042,27,33,-0.272940014320978,1.542533742422,-0.197683466769455,1.49193419405312
"SINTEX.NS",-0.171505984086288,0.846519390915758,-0.285052664514308,-0.253758450399061,26,34,-0.112419940763315,1.42895860693582,-1.10434085200603,1.65570840185226
"SYNDIBANK.NS",-0.162722138045029,0.461048018292294,-0.504326561826571,-0.50374329132485,26,34,-0.278744022391658,1.76759186436553,-0.19916381984953,1.69125286280828
"DHFL.NS",0.223105804027704,0.573862869517044,0.267152987785129,0.224048029309389,33,27,0.180817071045853,1.5991056916321,0.253626557848927,2.07322770474958
"TATACHEM.NS",0.214666926274121,0.267645899749728,0.541276001434392,0.589514348740496,33,27,0.110821320004171,1.08889709177934,0.0673943611535874,1.32120756626148
"TATACOMM.NS",0.135461854129991,0.269669560522894,0.243502567161777,0.262954572371678,31,29,0.0530046784104825,1.11484766308318,0.183069313687026,-0.170487090898109
"TATAELXSI.NS",0.38608713516209,0.433523838272056,0.729580436834767,1.09942367911369,30,30,0.373299444326662,1.22381455352699,0.267046693476242,0.0734801797393267
"EQUITAS.NS",-0.0873114540676099,0.335917995749946,-0.467697711681507,-0.43185038270879,13,18,-0.179041261917918,1.34191353896295,-0.367295850293369,1.46039746627474
"TATASTEEL.NS",0.096200750867167,0.323660549249507,0.0815796891870629,0.0851552843006923,30,30,-0.0244214219565396,1.51743669724122,0.452970073823503,0.611110163858177
"ASIANPAINT.NS",0.200021132928496,0.220535121415553,0.590493288485496,0.78796058310013,30,30,0.11692727853607,0.862165585200663,-0.246086986905085,1.57578609445837
"GODREJCP.NS",0.188536902664955,0.247994749818341,0.478801583076476,0.422897824997603,38,22,0.136122416143707,0.851861560576872,0.0183744605356704,1.08242626948633
"GODREJIND.NS",0.134137813813969,0.287086095895626,0.224118098635062,0.24006867137063,30,30,0.0249856230841228,1.20099183062871,0.0686621154494055,1.29610482566678
"GRASIM.NS",0.0989205004047584,0.253963360018461,0.114677473732287,0.116490221409074,30,30,0.0178131379364924,0.982862286130959,0.081888510308198,0.441154384051208
"HDFC.NS",0.178906676682539,0.206361277654121,0.528733171579499,0.530995608403194,35,25,0.0687612341779264,1.19247433838898,-0.0134546648951073,1.15789044971017
"BAJAJFINSV.NS",0.412214571692313,0.300675748965315,1.13882795341281,1.35968545005538,37,23,0.346288980230703,0.931626553710376,0.176963606854217,1.5512745591564
"TITAN.NS",0.283856144177917,0.291346397098485,0.73472513287432,0.83777728245316,35,25,0.227765284900476,0.829918972367287,0.444709533207676,1.11596233141483
"TORNTPHARM.NS",0.272049052597731,0.261675484035583,0.772913173298839,0.828761781321725,36,24,0.224575439739082,0.687718469107146,-0.256175529188404,0.976555931817593
"HDFCBANK.NS",0.230074021627423,0.165685389948076,0.967359872951828,1.09524522631143,36,24,0.143256547350673,0.839978765566981,0.181058351954038,0.8260520956636
"TORNTPOWER.NS",0.159500432075505,0.407032553165227,0.220384850107586,0.24130317769714,32,28,0.14331417549069,1.13879588907346,0.268166920785757,0.6359295975715
"HEROMOTOCO.NS",0.0988994573347378,0.225223363470556,0.129217648777652,0.153491668478705,27,33,0.0230240871879552,0.863711592787672,-0.0221151790932465,0.7717245034759
"TV18BRDCST.NS",0.0982504090252065,0.406978403258895,0.0699147299711326,0.073354040455767,30,30,0.0131087538777684,1.41076752475657,0.0633113980218837,1.20644557561685
"HINDALCO.NS",0.136597214630198,0.396537927020644,0.168459524855089,0.187560684693469,28,32,0.0134356543853703,1.62826011777447,0.308242667962497,1.00499895099483
"TVSMOTOR.NS",0.470888006185006,0.375263088224296,1.06882716396555,1.44127153606546,36,24,0.42334342025102,0.99202139929467,0.416543803408246,1.15938763018796
