"Stock","Avg","Stdev","Sharpe","Sortino","Pos","Neg"
"TATACOMM.NS",0.220769849212798,0.312747137742381,0.484018165496493,0.901612812434012,9,11
"TATAELXSI.NS",0.559084615998754,0.517162188961369,0.946879089601968,1.86286260857747,14,6
"EQUITAS.NS",-0.0508187297081201,0.223377866003577,-0.538161122215429,-0.5980496398529,2,7
"TATASTEEL.NS",0.180085207544852,0.395363596377028,0.279971791082259,0.298303201586917,11,9
"ASIANPAINT.NS",0.227410008627036,0.201703273979062,0.783405505381072,0.530627215908798,16,4
"GODREJCP.NS",0.255328893446644,0.158777083487871,1.17104015279633,1.99234818344192,13,7
"GODREJIND.NS",0.180103326298674,0.205590244910598,0.538492344363729,0.561317428636116,13,7
"GRASIM.NS",0.144473927595751,0.187973759997247,0.399414121728472,0.391197409348268,14,6
"HDFC.NS",0.197730528868089,0.160581782511038,0.799193865722693,0.689509413390198,15,5
"BAJAJFINSV.NS",0.483127147871211,0.247868760203466,1.6691598981378,2.49463030482608,15,5
"TITAN.NS",0.274887085822178,0.307936493604771,0.667321141700957,0.957829122130761,12,8
"TORNTPHARM.NS",0.298890791773548,0.299642494980375,0.765900171970358,0.744042378816706,14,6
"HDFCBANK.NS",0.25650283743674,0.120509508862607,1.55264332137981,2.62610933444054,14,6
"TORNTPOWER.NS",0.276104768129033,0.490809397641273,0.421161892547262,0.531733784142716,11,9
"HEROMOTOCO.NS",0.120739139651066,0.175860622378469,0.291961813953527,0.276923368764673,12,8
"TV18BRDCST.NS",0.169821825391475,0.369766289891785,0.271596613315977,0.311797007190503,11,9
"HINDALCO.NS",0.156981914885226,0.374206281420936,0.234061708462476,0.206977620110557,12,8
"TVSMOTOR.NS",0.557017789512359,0.446142407564709,1.09297665477627,2.13445467121152,13,7
"ULTRACEMCO.NS",0.18400714877776,0.212528446985558,0.53928119771701,0.614921520115329,12,8
"VOLTAS.NS",0.433043027573396,0.347582993082221,1.04622056162835,1.25841956736778,14,6
"BALRAMCHIN.NS",0.126096923244516,0.529254010291565,0.107136401054054,0.0857183889607858,13,7
"ICICIBANK.NS",0.163829795126179,0.228833174552004,0.412681605158896,0.529135640369902,10,10
"IGL.NS",0.345377742497066,0.235523552802273,1.17178594613978,1.23057798605659,15,5
"INDIANB.NS",0.341405043322823,0.500573354728253,0.543397860503457,0.848378381273221,10,10
"YESBANK.NS",0.367731059405258,0.283659203043066,1.05174273517758,1.63254028360863,13,7
"INDIGO.NS",-0.085446788207761,0.343962368975904,-0.450169424077494,-0.399117492267212,5,6
"ZEEL.NS",0.162314765502038,0.233867480064766,0.397319935793779,0.405677734716948,12,8
"BIOCON.NS",0.349650938183782,0.354523139646654,0.790516481165815,1.50621469174558,11,9
"INFIBEAM.NS",0.523650074197709,0.346981988630758,1.30916167335318,0.979091893973335,8,1
